tool,db_layout,workload,strategy,N_or_K,n_reps,prefetch_time_us_med,prefetch_time_us_min,prefetch_time_us_max,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_63,63,3,10.99,10.58,11.09,63,63
prefetch_layers,orig,ALL,layers_64,64,3,10.54,9.65,10.79,64,64
prefetch_layers,orig,ALL,layers_65,65,3,11.02,10.82,12.40,65,65
prefetch_layers,orig,ALL,layers_66,66,3,11.17,10.57,11.36,66,66
prefetch_layers,orig,ALL,layers_67,67,3,10.82,10.76,11.67,67,67
prefetch_layers,orig,ALL,layers_68,68,3,11.31,11.06,11.54,68,68
prefetch_layers,orig,ALL,layers_69,69,3,11.31,10.80,12.14,69,69
prefetch_layers,orig,ALL,layers_7,7,3,2.03,1.87,2.52,7,7
prefetch_layers,orig,ALL,layers_70,70,3,12.01,10.77,12.05,70,70
prefetch_layers,orig,ALL,layers_71,71,3,12.04,11.57,12.20,71,71
prefetch_layers,orig,ALL,layers_72,72,3,11.61,11.47,11.61,72,72
prefetch_layers,orig,ALL,layers_73,73,3,12.18,12.13,12.65,73,73
prefetch_layers,orig,ALL,layers_74,74,3,12.47,11.68,12.62,74,74
prefetch_layers,orig,ALL,layers_75,75,3,12.88,12.55,13.16,75,75
prefetch_layers,orig,ALL,layers_76,76,3,12.37,12.12,12.39,76,76
prefetch_layers,orig,ALL,layers_77,77,3,12.50,11.97,13.38,77,77
prefetch_layers,orig,ALL,layers_78,78,3,13.28,12.79,13.61,78,78
prefetch_layers,orig,ALL,layers_79,79,3,12.80,12.40,13.02,79,79
prefetch_layers,orig,ALL,layers_8,8,3,2.05,1.74,2.16,8,8
prefetch_layers,orig,ALL,layers_80,80,3,13.99,12.93,16.68,80,80
prefetch_layers,orig,ALL,layers_81,81,3,13.21,13.13,14.44,81,81
prefetch_layers,orig,ALL,layers_82,82,3,14.03,13.12,17.02,82,82
prefetch_layers,orig,ALL,layers_83,83,3,13.66,13.29,14.23,83,83
prefetch_layers,orig,ALL,layers_84,84,3,13.94,13.46,14.63,84,84
prefetch_layers,orig,ALL,layers_85,85,3,14.00,13.99,14.41,85,85
prefetch_layers,orig,ALL,layers_86,86,3,13.73,13.07,14.31,86,86
prefetch_layers,orig,ALL,layers_87,87,3,14.23,13.55,14.94,87,87
prefetch_layers,orig,ALL,layers_88,88,3,14.33,14.27,14.47,88,88
prefetch_layers,orig,ALL,layers_89,89,3,14.26,14.02,15.51,89,89
prefetch_layers,orig,ALL,layers_9,9,3,2.22,2.12,2.35,9,9
prefetch_layers,orig,ALL,layers_90,90,3,14.79,14.59,15.25,90,90
prefetch_layers,orig,ALL,layers_91,91,3,15.19,14.40,15.53,91,91
prefetch_layers,orig,ALL,layers_92,92,3,15.27,15.23,15.27,92,92
prefetch_layers,ta,ALL,layers_0,0,3,0.00,0.00,0.00,0,0
prefetch_layers,ta,ALL,layers_1,1,3,1.22,0.65,1.26,1,1
prefetch_layers,ta,ALL,layers_10,10,3,1.93,1.76,2.40,10,10
prefetch_layers,ta,ALL,layers_11,11,3,2.37,2.01,2.50,11,11
prefetch_layers,ta,ALL,layers_12,12,3,2.60,2.25,3.36,12,12
prefetch_layers,ta,ALL,layers_13,13,3,2.73,2.58,3.00,13,13
prefetch_layers,ta,ALL,layers_14,14,3,2.60,2.60,2.98,14,14
