tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_63,63,2,11.09,63,63
prefetch_layers,orig,ALL,layers_63,63,3,10.58,63,63
prefetch_layers,orig,ALL,layers_64,64,1,10.79,64,64
prefetch_layers,orig,ALL,layers_64,64,2,9.65,64,64
prefetch_layers,orig,ALL,layers_64,64,3,10.54,64,64
prefetch_layers,orig,ALL,layers_65,65,1,12.4,65,65
prefetch_layers,orig,ALL,layers_65,65,2,10.82,65,65
prefetch_layers,orig,ALL,layers_65,65,3,11.02,65,65
prefetch_layers,orig,ALL,layers_66,66,1,11.36,66,66
prefetch_layers,orig,ALL,layers_66,66,2,11.17,66,66
prefetch_layers,orig,ALL,layers_66,66,3,10.57,66,66
prefetch_layers,orig,ALL,layers_67,67,1,10.76,67,67
prefetch_layers,orig,ALL,layers_67,67,2,10.82,67,67
prefetch_layers,orig,ALL,layers_67,67,3,11.67,67,67
prefetch_layers,orig,ALL,layers_68,68,1,11.54,68,68
prefetch_layers,orig,ALL,layers_68,68,2,11.31,68,68
prefetch_layers,orig,ALL,layers_68,68,3,11.06,68,68
prefetch_layers,orig,ALL,layers_69,69,1,12.14,69,69
prefetch_layers,orig,ALL,layers_69,69,2,11.31,69,69
prefetch_layers,orig,ALL,layers_69,69,3,10.8,69,69
prefetch_layers,orig,ALL,layers_70,70,1,12.01,70,70
prefetch_layers,orig,ALL,layers_70,70,2,10.77,70,70
prefetch_layers,orig,ALL,layers_70,70,3,12.05,70,70
prefetch_layers,orig,ALL,layers_71,71,1,12.04,71,71
prefetch_layers,orig,ALL,layers_71,71,2,11.57,71,71
prefetch_layers,orig,ALL,layers_71,71,3,12.2,71,71
prefetch_layers,orig,ALL,layers_72,72,1,11.61,72,72
prefetch_layers,orig,ALL,layers_72,72,2,11.61,72,72
prefetch_layers,orig,ALL,layers_72,72,3,11.47,72,72
prefetch_layers,orig,ALL,layers_73,73,1,12.65,73,73
