workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
B,vacuum,2e_K10,pread,128,1,1,0.00,100.00,508.46,2229.26,2737.72,2.14,144.00,241.00,1.33,54711200
B,vacuum,2e_K10,async,128,1,1,0.00,100.00,512.36,296.78,809.14,2.11,145.00,238.00,1.33,54710992
B,vacuum,2e_K500,pread,128,1,1,0.00,100.00,469.65,19066.10,19535.75,1.72,10.00,239.00,1.33,54710812
B,vacuum,2e_K500,async,128,1,1,0.00,41.40,395.22,980.47,1375.69,2.11,151.00,283.00,1.33,54713348
B,vacuum,2f_slru,pread,128,1,1,0.00,100.00,103.89,27872.53,27976.42,1.70,0.00,214.00,1.33,54713388
B,vacuum,2f_slru,async,128,1,1,0.00,100.00,107.75,5830.10,5937.85,1.70,0.00,214.00,1.33,54713920
B,ta,layers_5,pread,128,1,1,0.00,100.00,596.13,467.36,1063.49,2.30,182.00,277.00,1.33,54704332
B,ta,layers_5,async,128,1,1,0.00,100.00,606.80,291.02,897.82,2.30,182.00,275.00,1.33,54708804
B,ta,layers_92,pread,128,1,1,0.00,100.00,596.85,1030.18,1627.03,2.30,180.00,275.00,1.33,54709028
B,ta,layers_92,async,128,1,1,0.00,51.10,526.34,361.85,888.19,2.26,181.00,275.00,1.33,54710364
B,ta,2d,pread,128,1,1,0.00,100.00,568.19,1049.97,1618.16,2.28,180.00,277.00,1.33,54710616
B,ta,2d,async,128,1,1,0.00,77.50,614.35,306.94,921.29,2.27,181.00,275.00,1.33,55080768
B,ta,2e_K10,pread,128,1,1,0.00,100.00,613.16,2193.74,2806.90,2.35,180.00,279.00,1.33,54687544
B,ta,2e_K10,async,128,1,1,0.00,80.00,596.59,353.39,949.98,2.30,181.00,278.00,1.33,54688176
B,ta,2e_K500,pread,128,1,1,0.00,100.00,611.05,17795.08,18406.13,2.21,171.00,372.00,1.38,54689228
B,ta,2e_K500,async,128,1,1,0.00,19.40,617.37,987.26,1604.63,2.25,186.00,318.00,1.38,54689532
B,ta,2f_slru,pread,128,1,1,0.00,100.00,109.26,17808.76,17918.02,1.71,0.00,279.00,1.38,54689948
B,ta,2f_slru,async,128,1,1,0.00,100.00,152.84,7416.87,7569.71,1.72,0.00,279.00,1.38,54688840
C,orig,layers_5,pread,128,1,1,0.00,100.00,1021.17,524.67,1545.84,1.61,24.00,25.00,1.38,54692144
C,orig,layers_5,async,128,1,1,0.00,100.00,1026.63,297.81,1324.44,1.64,24.00,25.00,1.38,54691784
C,orig,layers_92,pread,128,1,1,0.00,100.00,637.69,8198.22,8835.91,1.62,24.00,25.00,1.38,54692040
C,orig,layers_92,async,128,1,1,0.00,100.00,637.05,447.13,1084.18,1.60,24.00,25.00,1.38,54693048
C,orig,2d,pread,128,1,1,0.00,100.00,630.61,449.58,1080.19,1.61,24.00,25.00,1.38,54694048
C,orig,2d,async,128,1,1,0.00,100.00,635.23,324.48,959.71,1.61,24.00,25.00,1.38,54694192
C,orig,2e_K10,pread,128,1,1,0.00,100.00,158.33,1376.14,1534.47,1.62,23.00,33.00,1.38,54693860
C,orig,2e_K10,async,128,1,1,0.00,100.00,155.02,277.63,432.65,1.61,23.00,33.00,1.38,54694176
C,orig,2e_K500,pread,128,1,1,0.00,100.00,154.62,2383.09,2537.71,1.53,0.00,36.00,1.38,54688912
C,orig,2e_K500,async,128,1,1,0.00,59.80,151.69,721.88,873.57,1.54,0.00,36.00,1.38,54692532
C,orig,2f_slru,pread,128,1,1,0.00,100.00,107.43,2901.01,3008.44,1.54,0.00,36.00,1.38,54693116
C,orig,2f_slru,async,128,1,1,0.00,100.00,99.50,1089.56,1189.06,1.53,0.00,36.00,1.38,54694368
C,vacuum,layers_5,pread,128,1,1,0.00,100.00,899.31,686.06,1585.37,1.56,14.00,33.00,1.38,54694200
C,vacuum,layers_5,async,128,1,1,0.00,100.00,900.48,305.42,1205.90,1.54,14.00,33.00,1.38,54695108
C,vacuum,layers_92,pread,128,1,1,0.00,100.00,502.23,7515.93,8018.16,1.53,14.00,36.00,1.38,54695084
C,vacuum,layers_92,async,128,1,1,0.00,100.00,446.89,437.37,884.26,1.54,14.00,36.00,1.43,54696236
C,vacuum,2d,pread,128,1,1,0.00,100.00,501.79,630.20,1131.99,1.54,14.00,36.00,1.43,54696324
C,vacuum,2d,async,128,1,1,0.00,100.00,503.21,306.12,809.33,1.56,14.00,36.00,1.43,54697472
C,vacuum,2e_K10,pread,128,1,1,0.00,100.00,186.89,1376.28,1563.17,1.54,12.00,44.00,1.43,54697112
C,vacuum,2e_K10,async,128,1,1,0.00,100.00,187.05,272.67,459.72,1.54,12.00,44.00,1.43,54698020
C,vacuum,2e_K500,pread,128,1,1,0.00,100.00,188.37,2374.88,2563.25,1.51,0.00,30.00,1.43,54698044
C,vacuum,2e_K500,async,128,1,1,0.00,47.90,187.95,719.34,907.29,1.49,0.00,30.00,1.43,54697908
C,vacuum,2f_slru,pread,128,1,1,0.00,100.00,99.68,3147.68,3247.36,1.49,0.00,30.00,1.43,54697556
C,vacuum,2f_slru,async,128,1,1,0.00,100.00,100.50,908.29,1008.79,1.49,0.00,30.00,1.43,54697152
C,ta,layers_5,pread,128,1,1,0.00,100.00,867.76,401.14,1268.90,1.62,25.00,27.00,1.43,54698188
C,ta,layers_5,async,128,1,1,0.00,100.00,833.04,262.20,1095.24,1.62,25.00,27.00,1.43,54699164
C,ta,layers_92,pread,128,1,1,0.00,100.00,487.25,980.72,1467.97,1.61,24.00,28.00,1.43,54698948
C,ta,layers_92,async,128,1,1,0.00,42.40,478.52,380.50,859.02,1.61,24.00,28.00,1.43,54699176
C,ta,2d,pread,128,1,1,0.00,100.00,454.22,1037.02,1491.24,1.64,24.00,28.00,1.43,54701644
C,ta,2d,async,128,1,1,0.00,100.00,477.51,317.94,795.45,1.61,24.00,28.00,1.43,54702228
C,ta,2e_K10,pread,128,1,1,0.00,100.00,187.00,1856.12,2043.12,1.61,23.00,34.00,1.43,54702596
C,ta,2e_K10,async,128,1,1,0.00,70.70,184.89,363.95,548.84,1.61,23.00,34.00,1.43,54703012
C,ta,2e_K500,pread,128,1,1,0.00,100.00,187.95,3544.36,3732.31,1.58,0.00,38.00,1.43,54699012
C,ta,2e_K500,async,128,1,1,0.00,100.00,188.11,879.47,1067.58,1.56,0.00,38.00,1.43,54700220
C,ta,2f_slru,pread,128,1,1,0.00,100.00,99.45,3426.52,3525.97,1.57,0.00,36.00,1.48,54692352
C,ta,2f_slru,async,128,1,1,0.00,100.00,99.37,1117.37,1216.74,1.55,0.00,36.00,1.48,54693748
A,orig,baseline,baseline,128,2,0,0.00,0.00,523.74,0.00,523.74,2.15,180.00,270.00,1.48,54694296
A,vacuum,baseline,baseline,128,2,0,0.00,0.00,694.07,0.00,694.07,2.05,142.00,219.00,1.48,54695036
A,ta,baseline,baseline,128,2,0,0.00,0.00,648.83,0.00,648.83,2.19,177.00,277.00,1.48,54696056
B,orig,baseline,baseline,128,2,0,0.00,0.00,718.31,0.00,718.31,2.27,181.00,273.00,1.48,54699592
B,vacuum,baseline,baseline,128,2,0,0.00,0.00,991.04,0.00,991.04,2.13,144.00,237.00,1.48,54701428
B,ta,baseline,baseline,128,2,0,0.00,0.00,833.85,0.00,833.85,2.34,182.00,277.00,1.48,54700716
C,orig,baseline,baseline,128,2,0,0.00,0.00,1057.84,0.00,1057.84,1.60,24.00,25.00,1.48,54703440
C,vacuum,baseline,baseline,128,2,0,0.00,0.00,1002.05,0.00,1002.05,1.54,14.00,33.00,1.48,54704820
C,ta,baseline,baseline,128,2,0,0.00,0.00,860.92,0.00,860.92,1.61,25.00,27.00,1.48,54704524
A,orig,layers_5,pread,128,2,0,0.00,100.00,153.06,620.28,773.34,2.18,180.00,271.00,1.48,54703368
A,orig,layers_5,async,128,2,0,0.00,100.00,378.08,256.26,634.34,2.19,180.00,271.00,1.48,54705680
A,orig,layers_92,pread,128,2,0,0.00,100.00,157.96,8204.99,8362.95,2.20,177.00,286.00,1.48,54696912
A,orig,layers_92,async,128,2,0,0.00,100.00,334.01,388.28,722.29,2.18,178.00,283.00,1.48,54697808
A,orig,2d,pread,128,2,0,0.00,100.00,152.26,1866.03,2018.29,2.13,177.00,286.00,1.48,54699900
A,orig,2d,async,128,2,0,0.00,100.00,298.83,273.46,572.29,2.13,178.00,283.00,1.48,54700568
A,orig,2e_K10,pread,128,2,0,0.00,100.00,151.10,2586.62,2737.72,2.17,181.00,287.00,1.52,54699948
A,orig,2e_K10,async,128,2,0,0.00,100.00,381.05,288.67,669.72,2.19,181.00,287.00,1.52,54706692
A,orig,2e_K500,pread,128,2,0,0.00,100.00,164.35,30858.64,31022.99,2.11,168.00,428.00,1.52,54709468
A,orig,2e_K500,async,128,2,0,0.00,100.00,152.28,1079.45,1231.73,2.14,179.00,413.00,1.52,54709668
A,orig,2f_slru,pread,128,2,0,0.00,100.00,106.84,18206.86,18313.70,1.59,0.00,278.00,1.52,54710424
A,orig,2f_slru,async,128,2,0,0.00,100.00,120.44,7383.44,7503.88,1.60,0.00,278.00,1.52,54708580
A,vacuum,layers_5,pread,128,2,0,0.00,100.00,184.94,771.52,956.46,2.04,143.00,221.00,1.52,54710388
A,vacuum,layers_5,async,128,2,0,0.00,100.00,1099.70,256.80,1356.50,2.06,143.00,219.00,1.52,54711552
A,vacuum,layers_92,pread,128,2,0,0.00,100.00,197.46,7537.59,7735.05,2.05,142.00,231.00,1.52,54712252
A,vacuum,layers_92,async,128,2,0,0.00,100.00,561.81,380.87,942.68,2.06,142.00,229.00,1.52,54712028
A,vacuum,2d,pread,128,2,0,0.00,100.00,191.64,1345.34,1536.98,2.02,142.00,231.00,1.52,54711808
A,vacuum,2d,async,128,2,0,0.00,100.00,562.26,263.99,826.25,2.06,142.00,229.00,1.52,54712784
A,vacuum,2e_K10,pread,128,2,0,0.00,100.00,203.19,2254.06,2457.25,2.05,143.00,238.00,1.52,54713660
A,vacuum,2e_K10,async,128,2,0,0.00,100.00,558.83,290.16,848.99,2.04,143.00,236.00,1.52,54713476
A,vacuum,2e_K500,pread,128,2,0,0.00,100.00,198.49,44552.32,44750.81,1.97,138.00,360.00,1.52,54715544
A,vacuum,2e_K500,async,128,2,0,0.00,18.40,258.60,919.60,1178.20,2.04,145.00,328.00,1.52,54715588
A,vacuum,2f_slru,pread,128,2,0,0.00,100.00,100.77,14153.17,14253.94,1.62,0.00,214.00,1.56,54716608
A,vacuum,2f_slru,async,128,2,0,0.00,100.00,105.43,5740.09,5845.52,1.60,0.00,214.00,1.56,54717104
A,ta,layers_5,pread,128,2,0,0.00,100.00,489.15,478.34,967.49,2.19,177.00,278.00,1.56,54716112
A,ta,layers_5,async,128,2,0,0.00,100.00,497.99,294.50,792.49,2.13,177.00,276.00,1.56,54716044
A,ta,layers_92,pread,128,2,0,0.00,100.00,181.00,990.58,1171.58,2.15,175.00,275.00,1.56,54715300
A,ta,layers_92,async,128,2,0,0.00,100.00,446.35,396.42,842.77,2.20,176.00,276.00,1.56,54712920
A,ta,2d,pread,128,2,0,0.00,100.00,200.16,1750.76,1950.92,2.13,176.00,277.00,1.56,54711648
A,ta,2d,async,128,2,0,0.00,72.10,432.38,339.62,772.00,2.15,176.00,276.00,1.56,54714364
A,ta,2e_K10,pread,128,2,0,0.00,100.00,201.34,2065.61,2266.95,2.18,179.00,282.00,1.56,54715072
A,ta,2e_K10,async,128,2,0,0.00,100.00,370.80,358.81,729.61,2.26,179.00,279.00,1.56,54715840
A,ta,2e_K500,pread,128,2,0,0.00,100.00,190.65,17927.19,18117.84,2.09,170.00,413.00,1.56,54715588
