workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,vacuum,2e_K50,async,128,2,0,0.00,100.00,552.25,338.35,890.60,2.04,148.00,240.00,1.79,53966296
A,vacuum,2e_K92,pread,128,2,0,0.00,100.00,184.20,9145.42,9329.62,2.02,147.00,260.00,1.79,53967040
A,vacuum,2e_K92,async,128,2,0,0.00,100.00,345.42,412.99,758.41,2.03,147.00,260.00,1.79,53966688
A,vacuum,2e_K100,pread,128,2,0,0.00,100.00,187.55,9837.39,10024.94,2.03,147.00,261.00,1.79,53966716
A,vacuum,2e_K100,async,128,2,0,0.00,100.00,347.52,415.30,762.82,2.05,147.00,261.00,1.79,53967212
A,vacuum,2e_K500,pread,128,2,0,0.00,100.00,200.89,44774.85,44975.74,1.98,138.00,361.00,1.79,53967232
A,vacuum,2e_K500,async,128,2,0,0.00,100.00,186.16,1130.69,1316.85,2.00,145.00,332.00,1.81,53967492
A,ta,2d,pread,128,2,0,0.00,100.00,196.75,1011.80,1208.55,2.16,176.00,276.00,1.81,53967724
A,ta,2d,async,128,2,0,0.00,72.10,437.96,300.88,738.84,2.14,176.00,276.00,1.81,53968016
A,ta,2e_K10,pread,128,2,0,0.00,100.00,195.95,2033.15,2229.10,2.16,179.00,282.00,1.81,53967652
A,ta,2e_K10,async,128,2,0,0.00,77.40,398.94,318.94,717.88,2.18,179.00,281.00,1.81,53968200
A,ta,2e_K40,pread,128,2,0,0.00,100.00,197.23,4733.67,4930.90,2.18,180.00,295.00,1.81,53968876
A,ta,2e_K40,async,128,2,0,0.00,84.30,392.90,354.13,747.03,2.15,180.00,294.00,1.81,53968240
A,ta,2e_K50,pread,128,2,0,0.00,100.00,199.43,6226.53,6425.96,2.16,180.00,298.00,1.81,53968788
A,ta,2e_K50,async,128,2,0,0.00,93.50,393.19,378.55,771.74,2.15,180.00,297.00,1.81,53968800
A,ta,2e_K92,pread,128,2,0,0.00,100.00,191.04,15573.41,15764.45,2.17,180.00,315.00,1.81,53967508
A,ta,2e_K92,async,128,2,0,0.00,45.90,708.15,424.45,1132.60,2.21,181.00,316.00,1.81,53958480
A,ta,2e_K100,pread,128,2,0,0.00,100.00,196.48,15915.25,16111.73,2.17,179.00,317.00,1.81,53959668
A,ta,2e_K100,async,128,2,0,0.00,45.50,468.29,430.09,898.38,2.15,181.00,317.00,1.81,53959064
A,ta,2e_K500,pread,128,2,0,0.00,100.00,192.49,17943.78,18136.27,2.12,170.00,414.00,1.81,53960840
A,ta,2e_K500,async,128,2,0,0.00,24.70,282.17,949.30,1231.47,2.13,178.00,395.00,1.81,53961096
B,orig,2d,pread,128,2,0,0.00,100.00,394.99,1870.32,2265.31,2.29,180.00,281.00,1.81,53961944
B,orig,2d,async,128,2,0,0.00,100.00,389.52,275.54,665.06,2.29,181.00,278.00,1.82,53961788
B,orig,2e_K10,pread,128,2,0,0.00,100.00,391.47,2827.74,3219.21,2.27,180.00,283.00,1.82,53962336
B,orig,2e_K10,async,128,2,0,0.00,100.00,2353.43,302.65,2656.08,2.35,181.00,280.00,1.82,53959060
B,orig,2e_K40,pread,128,2,0,0.00,100.00,395.48,5443.64,5839.12,2.30,180.00,293.00,1.82,53970144
B,orig,2e_K40,async,128,2,0,0.00,100.00,385.49,325.35,710.84,2.22,181.00,288.00,1.82,53970500
B,orig,2e_K50,pread,128,2,0,0.00,100.00,390.37,6382.93,6773.30,2.25,181.00,293.00,1.82,53971132
B,orig,2e_K50,async,128,2,0,0.00,100.00,394.21,347.63,741.84,2.26,183.00,289.00,1.82,53972112
B,orig,2e_K92,pread,128,2,0,0.00,100.00,388.92,10080.98,10469.90,2.25,182.00,304.00,1.82,53972432
B,orig,2e_K92,async,128,2,0,0.00,100.00,386.87,415.12,801.99,2.28,184.00,295.00,1.82,53972660
B,orig,2e_K100,pread,128,2,0,0.00,100.00,384.90,10783.41,11168.31,2.24,182.00,304.00,1.82,53974076
B,orig,2e_K100,async,128,2,0,0.00,100.00,376.91,424.45,801.36,2.25,184.00,297.00,1.82,53974248
B,orig,2e_K500,pread,128,2,0,0.00,100.00,386.05,19517.42,19903.47,2.20,168.00,385.00,1.82,53974704
B,orig,2e_K500,async,128,2,0,0.00,100.00,429.43,1111.70,1541.13,2.28,186.00,326.00,1.82,53977744
B,vacuum,2d,pread,128,2,0,0.00,100.00,515.30,1359.88,1875.18,2.15,144.00,238.00,1.82,53980936
B,vacuum,2d,async,128,2,0,0.00,100.00,512.52,272.21,784.73,2.18,145.00,235.00,1.82,53983548
B,vacuum,2e_K10,pread,128,2,0,0.00,100.00,509.25,2190.80,2700.05,2.13,144.00,241.00,1.84,53981808
B,vacuum,2e_K10,async,128,2,0,0.00,100.00,522.48,282.19,804.67,2.16,145.00,238.00,1.84,53982928
B,vacuum,2e_K40,pread,128,2,0,0.00,100.00,582.86,4754.16,5337.02,2.19,145.00,242.00,1.84,53983016
B,vacuum,2e_K40,async,128,2,0,0.00,100.00,505.36,317.19,822.55,2.13,146.00,238.00,1.84,53984300
B,vacuum,2e_K50,pread,128,2,0,0.00,100.00,563.46,5700.35,6263.81,2.15,146.00,248.00,1.84,53984404
B,vacuum,2e_K50,async,128,2,0,0.00,100.00,506.98,325.78,832.76,2.12,147.00,244.00,1.84,53984212
B,vacuum,2e_K92,pread,128,2,0,0.00,100.00,518.74,9625.02,10143.76,2.13,148.00,252.00,1.84,53985612
B,vacuum,2e_K92,async,128,2,0,0.00,79.80,506.10,400.26,906.36,2.12,149.00,249.00,1.84,53985580
B,vacuum,2e_K100,pread,128,2,0,0.00,100.00,517.58,10405.25,10922.83,2.15,148.00,253.00,1.84,53986380
B,vacuum,2e_K100,async,128,2,0,0.00,82.10,505.80,405.36,911.16,2.11,149.00,249.00,1.84,53987404
B,vacuum,2e_K500,pread,128,2,0,0.00,100.00,465.62,18968.26,19433.88,1.73,10.00,240.00,1.84,53987284
B,vacuum,2e_K500,async,128,2,0,0.00,18.80,406.73,958.86,1365.59,2.11,151.00,284.00,1.84,53987776
B,ta,2d,pread,128,2,0,0.00,100.00,568.07,984.82,1552.89,2.28,180.00,277.00,1.84,53987648
B,ta,2d,async,128,2,0,0.00,77.50,582.00,307.43,889.43,2.29,181.00,275.00,1.84,53988964
B,ta,2e_K10,pread,128,2,0,0.00,100.00,536.05,2332.18,2868.23,2.23,180.00,279.00,1.84,53988848
B,ta,2e_K10,async,128,2,0,0.00,80.00,596.66,309.64,906.30,2.25,181.00,278.00,1.84,53987928
B,ta,2e_K40,pread,128,2,0,0.00,100.00,597.56,4440.75,5038.31,2.29,180.00,284.00,1.93,53973044
B,ta,2e_K40,async,128,2,0,0.00,85.00,595.22,347.51,942.73,2.29,181.00,283.00,1.93,53971736
B,ta,2e_K50,pread,128,2,0,0.00,100.00,605.37,5420.37,6025.74,2.27,181.00,286.00,1.93,53972628
B,ta,2e_K50,async,128,2,0,0.00,96.70,602.37,369.67,972.04,2.30,183.00,284.00,1.93,53974016
B,ta,2e_K92,pread,128,2,0,0.00,100.00,600.50,11867.44,12467.94,2.26,182.00,290.00,1.93,53974848
B,ta,2e_K92,async,128,2,0,0.00,72.00,591.56,426.04,1017.60,2.30,184.00,288.00,1.93,53975604
B,ta,2e_K100,pread,128,2,0,0.00,100.00,597.73,12034.28,12632.01,2.26,182.00,290.00,1.93,53975776
B,ta,2e_K100,async,128,2,0,0.00,72.10,600.71,434.02,1034.73,2.26,184.00,287.00,1.93,53976664
B,ta,2e_K500,pread,128,2,0,0.00,100.00,526.50,17586.44,18112.94,2.22,171.00,373.00,1.93,53977192
B,ta,2e_K500,async,128,2,0,0.00,34.60,497.03,990.58,1487.61,2.25,186.00,317.00,1.93,53978180
C,orig,2d,pread,128,2,0,0.00,100.00,633.53,537.09,1170.62,1.59,24.00,25.00,1.93,53977848
C,orig,2d,async,128,2,0,0.00,100.00,628.29,256.85,885.14,1.59,24.00,25.00,1.93,53978824
C,orig,2e_K10,pread,128,2,0,0.00,100.00,153.97,1398.06,1552.03,1.60,23.00,33.00,1.93,53980228
C,orig,2e_K10,async,128,2,0,0.00,100.00,155.97,275.58,431.55,1.61,23.00,33.00,1.93,53980076
C,orig,2e_K40,pread,128,2,0,0.00,100.00,162.31,3889.90,4052.21,1.60,22.00,58.00,1.93,53980504
C,orig,2e_K40,async,128,2,0,0.00,100.00,164.41,304.74,469.15,1.59,22.00,58.00,1.93,53980628
C,orig,2e_K50,pread,128,2,0,0.00,100.00,154.99,4762.27,4917.26,1.59,22.00,51.00,1.93,53981708
C,orig,2e_K50,async,128,2,0,0.00,100.00,150.49,312.06,462.55,1.59,22.00,51.00,1.93,53981164
C,orig,2e_K92,pread,128,2,0,0.00,100.00,158.54,8769.54,8928.08,1.59,18.00,73.00,1.93,53962652
C,orig,2e_K92,async,128,2,0,0.00,100.00,152.67,364.38,517.05,1.58,21.00,63.00,1.93,53961660
C,orig,2e_K100,pread,128,2,0,0.00,100.00,153.62,9855.67,10009.29,1.58,16.00,81.00,1.93,53972104
C,orig,2e_K100,async,128,2,0,0.00,100.00,154.97,375.12,530.09,1.59,23.00,64.00,1.93,53973208
C,orig,2e_K500,pread,128,2,0,0.00,100.00,157.53,2511.25,2668.78,1.52,0.00,36.00,1.93,53969884
C,orig,2e_K500,async,128,2,0,0.00,54.40,154.62,679.61,834.23,1.54,0.00,36.00,1.93,53970960
C,vacuum,2d,pread,128,2,0,0.00,100.00,480.17,604.11,1084.28,1.54,14.00,36.00,1.93,53971824
C,vacuum,2d,async,128,2,0,0.00,100.00,492.63,255.46,748.09,1.53,14.00,36.00,1.93,53972508
