workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
C,orig,2e_K40,async,5,128,152.65,162.15,151.74,4.80,100.0,303.52,455.88,0.0
C,orig,2e_K40,pread,1,128,162.31,,162.31,0,100.0,3889.90,4052.21,0.0
C,orig,2e_K50,async,5,128,151.50,157.91,150.49,3.10,100.0,314.25,465.65,0.0
C,orig,2e_K50,pread,1,128,154.99,,154.99,0,100.0,4762.27,4917.26,0.0
C,orig,2e_K500,async,5,128,154.62,161.74,152.33,4.04,54.4,651.40,809.58,0.0
C,orig,2e_K500,pread,1,128,157.53,,157.53,0,100.0,2511.25,2668.78,0.0
C,orig,2e_K92,async,5,128,154.28,156.51,152.39,1.65,100.0,366.74,522.54,0.0
C,orig,2e_K92,pread,1,128,158.54,,158.54,0,100.0,8769.54,8928.08,0.0
C,ta,2d,async,5,128,479.99,486.34,425.40,22.80,64.6,302.02,781.34,0.0
C,ta,2d,pread,1,128,453.37,,453.37,0,100.0,965.99,1419.36,0.0
C,ta,2e_K10,async,5,128,188.88,192.73,185.59,2.62,100.0,314.21,503.75,0.0
C,ta,2e_K10,pread,1,128,188.31,,188.31,0,100.0,2110.45,2298.76,0.0
C,ta,2e_K100,async,5,128,187.84,194.79,186.85,3.35,100.0,419.47,608.65,0.0
C,ta,2e_K100,pread,1,128,195.11,,195.11,0,100.0,10285.66,10480.77,0.0
C,ta,2e_K40,async,5,128,188.66,192.21,184.37,2.89,100.0,353.85,543.22,0.0
C,ta,2e_K40,pread,1,128,187.70,,187.70,0,100.0,4602.83,4790.53,0.0
C,ta,2e_K50,async,5,128,187.99,201.06,185.33,7.00,100.0,362.09,550.13,0.0
C,ta,2e_K50,pread,1,128,185.98,,185.98,0,100.0,5410.92,5596.90,0.0
C,ta,2e_K500,async,5,128,189.12,194.41,185.92,3.27,100.0,818.28,1013.78,0.0
C,ta,2e_K500,pread,1,128,190.98,,190.98,0,100.0,3799.90,3990.88,0.0
C,ta,2e_K92,async,5,128,189.30,189.66,186.87,1.05,100.0,413.20,601.51,0.0
C,ta,2e_K92,pread,1,128,193.50,,193.50,0,100.0,9235.73,9429.23,0.0
C,vacuum,2d,async,5,128,492.63,499.61,464.80,14.66,100.0,255.24,748.09,0.0
C,vacuum,2d,pread,1,128,480.17,,480.17,0,100.0,604.11,1084.28,0.0
C,vacuum,2e_K10,async,5,128,187.01,187.86,181.38,2.40,100.0,265.26,452.27,0.0
C,vacuum,2e_K10,pread,1,128,187.04,,187.04,0,100.0,1431.10,1618.14,0.0
C,vacuum,2e_K100,async,5,128,186.99,188.89,184.71,1.55,100.0,385.10,572.00,0.0
C,vacuum,2e_K100,pread,1,128,188.14,,188.14,0,100.0,3015.74,3203.88,0.0
C,vacuum,2e_K40,async,5,128,184.95,188.41,183.62,1.92,100.0,305.58,491.82,0.0
C,vacuum,2e_K40,pread,1,128,190.18,,190.18,0,100.0,3816.42,4006.60,0.0
C,vacuum,2e_K50,async,5,128,185.81,188.24,183.40,1.78,100.0,313.59,499.21,0.0
C,vacuum,2e_K50,pread,1,128,190.71,,190.71,0,100.0,4799.53,4990.24,0.0
C,vacuum,2e_K500,async,5,128,188.04,189.44,184.61,1.71,47.9,704.33,893.69,0.0
C,vacuum,2e_K500,pread,1,128,195.44,,195.44,0,100.0,2391.32,2586.76,0.0
C,vacuum,2e_K92,async,5,128,184.88,188.98,184.14,2.01,100.0,362.87,547.75,0.0
C,vacuum,2e_K92,pread,1,128,187.96,,187.96,0,100.0,3393.48,3581.44,0.0
